Family;Genus;Species;Fruit type;Fruit length (mm);Fruit diameter (mm);Fruit weight (g);Mean number of seeds per fruit;Seed length (mm);Seed diameter (mm);Seed weight (g);Wood  density g/cm³;Tree size max;Diameter breast height (cm);Megafauna Fruit ;Mean Dispersal Distance (m);Max Dispersal Distance (m);Lat;Long;Biome;Country;Agouti species;Study focus;Methods for asseing dispersal;Seed monioring time;Predation;Dispersal;Burial;Germination;Frugivory;Year;Citation;Full citation
Arecaceae;Attalea;Attalea geraensis;;44;27;19,9;;;;19,9;;0;0;Yes;6,5;30;21° 33' S;47° 45' W;Cerrado;Brazil;Dasyprocta azarae;Plant;Spool and line;1 ano;x;x;x;;;2007;"Almeida; Galetti, 2007";"Almeida, L.B.; Galetti, M. 2007. Seed dispersal and spatial distribution of Attalea geraensis (Arecaceae) in two remnants of Cerrado in Southeastern Brazil. Acta Oecologica 32(2), pp. 180-187."
Meliaceae;Carapa;Carapa guianensis;;;;;;;;20;0,56;30;;;;;10° 26' N;84° 00' W;Humid Tropical Forest;Costa Rica;Dasyprocta punctata;Other;Line;6 meses;x;x;x;;;2000;Guariguata et al., 2000;"Guariguata, M.R.; Adame, J.J.R.; Finegan, B. 2000. Seed removal and fate in two selectively logged lowland forests with constrasting protection levels. Conservation Biology 14(4), pp. 1046-1054."
Caryocaraceae;Caryocar;Caryocar brasiliense;;;;;;;;20,1;0,86;;;;;;19° 34' S;56° 14' W;Pantanal;Brazil;Dasyprocta azarae;Interaction;;;;;;;;2011;Donatti et al. (2011);Donatti, C. I., Guimarães, P. R., Galetti, M., Pizo, M. A., Marquitti, F. M., & Dirzo, R. (2011). Analysis of a hyper?diverse seed dispersal network: modularity and underlying mechanisms. Ecology letters, 14(8), 773-781.
Fabaceae;Dussia;Dussia martinicensis;;;;;;44;29;21,38;0,56;10;;Yes;;;15° 25' N;61° 20' W;;Dominica;Dasyprocta leporina;Agouti;Exclosure;;;;;;;2014;Taylor et al., 2014;"Taylor, B.; Ickes, K.; DeWalt, S.J. 2014. Seed removal by an introduced scatter-hoarder on a Caribbean island. Caribbean Journal of Science, 48(1):9-17."
Fabaceae;Dipteryx;Dipteryx micrantha;;60;35;;;;;21,5;0,87;;;;;;11° 54' S;71° 19' W;Amazon;Peru;Dasyprocta variegata;Plant;;;x;x;;;;1997;Cintra & Horna (1997);"Cintra, R.; Horna, V. 1997 Seed and Seedling Survival of the Palm Astrocaryum Murumuru and the Legume Tree Dipteryx Micrantha in Gaps in Amazonian Forest Journal of Tropical Ecology"
Fabaceae;Prioria;Prioria copaifera;;;;;;;80;23,5;0,45;25;85;;;;9° 10' N;79° 51' W;Lowland Rain Forest;Panama;Dasyprocta punctata;Mammals / Fragmentation;Flagged line;;;;;;x;2005;"Asquith; Mejia-Chang, 2005";"Asquith, N.M.; Mejia-Chang, M. 2005. Mammals, edge effects, and the loss of tropical forest diversity. Ecology, 86(2), pp. 379-390."
Arecaceae;Mauritia;Mauritia flexuosa;Drupe;57,5;57,5;32,5;1;35;25;23,8;;30;45;Yes;;;3° 56' N;69° 53' W;Amazon;Colombia;Dasyprocta fuliginosa;Plant;Exclosure;530 dias;x;x;;;;2016;"Acevedo-Quintero; Zamora-Abrego, 2016";"Acevedo-Quintero, J.F.; Zamora-Abrego, J.G. 2016. Papel de los mamíferos en los procesos de dispersión y depredación de semillas de Mauritia flexuosa (Arecaceae) en la Amazonía colombiana. Revista de Biología Tropical 64(1), pp. 5-15."
Arecaceae;Mauritia;Mauritia flexuosa;Drupe;70;57,5;32,5;1;35;25;23,8;;30;45;Yes;;;8° 23' N;65° 22' W;;Venezuela;Dasyprocta leporina;Plant;;;;;;;;2002;Calderon & Elena,2002;Ponce Calderon, Maria Elena 2002 Patrones De Caida De Frutos En Mauritia Flexuosa L.F. Y Fauna Involucrada En Los Procesos De Remocion De Semillas Acta Botanica Venezuelica
Arecaceae;Mauritia;Mauritia flexuosa;Drupe;57,5;57,5;32,5;1;35;25;23,8;;30;45;Yes;;12,63;14° 55' S;64° 21' W;Amazon;Bolivia;Dasyprocta punctata;Rodents/Plant;Metal implants;;x;x (7,5%);;x;;2015;Mendieta-Aguilar et al., 2015;"Mendieta-Aguilar, G.; Pacheco, L.F.; Roldán, A.I. 2015. Dispersión de semillas de mauritia fexuosa (arecaceae) por frugívoros terrestres en Laguna azul, Beni, Bolivia. Acta Amazonica 45(1), pp. 45-56."
Arecaceae;Mauritia;Mauritia flexuosa;Drupe;57,5;57,5;32,5;1;35;25;23,8;;30;45;Yes;;;1° 06' S;75 °48' W;Amazon;Ecuador;Dasyprocta fuliginosa;Plant;;;x;x;;;;2016;Ojeda García (2016);Ojeda García, M. I. (2016). Dispersores primarios y secundarios de Oenocarpus bataua y Mauritia flexuosa en el bosque tropical Yasuní, Amazonía Ecuatoriana (Master's thesis, PUCE).
