Species.Original.Name;TaxonomicStatus;UpdatedPlantFamily;UpdatedPlantGenus;UpdatedPlantEphitet;UpdatedPlantSpecies;Frugivore.Genus;Frugivore.Species;Seed.width.mm.;Wood.density.g.cm3;Wood.density.level;Seed.weigh.g;Tree.size.max.m;nwd;nsw;nts;Full.Citation
Cestrum racemosum;Accepted;Solanaceae;Cestrum;racemosum;Cestrum racemosum;Ateles;Ateles geoffroyi;NA;NA;;NA;NA;NA;NA;3;GonzÃ¡lez?Zamora, A., Arroyo?RodrÃ­guez, V., Chaves, Ã“. M., SÃ¡nchez?LÃ³pez, S., Stoner, K. E., & Riba?HernÃ¡ndez, P. (2009). Diet of spider monkeys (Ateles geoffroyi) in Mesoamerica: current knowledge and future directions.Â American Jourl of Primatology
Chamissoa sp.;Genus-level;Amaranthaceae;Chamissoa;sp.;Chamissoa sp.;Brachyteles;Brachyteles arachnoides;4;NA;;NA;NA;NA;NA;NA;Bueno, R. S., Guevara, R., Ribeiro, M. C., Culot, L., Bufalo, F. S., & Galetti, M. (2013). Functiol redundancy and complementarities of seed dispersal by the last neotropical megafrugivores.Â PloS one,Â 8(2).
Cheiloclinium serratum;Accepted;Celastraceae;Cheiloclinium;serratum;Cheiloclinium serratum;Brachyteles;Brachyteles arachnoides;4;NA;;NA;NA;NA;NA;NA;Bueno, R. S., Guevara, R., Ribeiro, M. C., Culot, L., Bufalo, F. S., & Galetti, M. (2013). Functiol redundancy and complementarities of seed dispersal by the last neotropical megafrugivores.Â PloS one,Â 8(2).
Cheiloclinium serratum;Accepted;Celastraceae;Cheiloclinium;serratum;Cheiloclinium serratum;Brachyteles;Brachyteles arachnoides;NA;NA;;NA;NA;NA;NA;NA;Bello, C., Galetti, M., Montan, D., Pizo, M. A., Mariguela, T. C., Culot, L., Bufalo, F., Labecca, F., Pedrosa, F., Constantini, R., Emer, C., Silva, W. R., da Silva, F. R., Ovaskainen, O. and Jordano, P. (2017), Atlantic frugivory: a plantâ€“frugivore interaction data set for the Atlantic Forest. Ecology, 98: 1729. doi:10.1002/ecy.1818
Chrysophyllum sp.;Genus-level;Sapotaceae;Chrysophyllum;sp.;Chrysophyllum sp.;Brachyteles;Brachyteles arachnoides;4;NA;;NA;NA;NA;NA;NA;Bueno, R. S., Guevara, R., Ribeiro, M. C., Culot, L., Bufalo, F. S., & Galetti, M. (2013). Functiol redundancy and complementarities of seed dispersal by the last neotropical megafrugivores.Â PloS one,Â 8(2).
Cinmomum sp. ;Typo/Genus-level;Lauraceae;Cinnamomum;sp.;Cinnamomum sp.;Brachyteles;Brachyteles arachnoides;9;NA;;NA;NA;NA;NA;NA;Bueno, R. S., Guevara, R., Ribeiro, M. C., Culot, L., Bufalo, F. S., & Galetti, M. (2013). Functiol redundancy and complementarities of seed dispersal by the last neotropical megafrugivores.Â PloS one,Â 8(2).
Cissus sp. 1;Genus-level;Vitaceae;Cissus;sp.;Cissus sp.;Brachyteles;Brachyteles arachnoides;7,5;NA;;NA;NA;NA;NA;NA;Bueno, R. S., Guevara, R., Ribeiro, M. C., Culot, L., Bufalo, F. S., & Galetti, M. (2013). Functiol redundancy and complementarities of seed dispersal by the last neotropical megafrugivores.Â PloS one,Â 8(2).
Cissus sp. 2;Genus-level;Vitaceae;Cissus;sp.;Cissus sp.;Brachyteles;Brachyteles arachnoides;0,5;NA;;NA;NA;NA;NA;NA;Bueno, R. S., Guevara, R., Ribeiro, M. C., Culot, L., Bufalo, F. S., & Galetti, M. (2013). Functiol redundancy and complementarities of seed dispersal by the last neotropical megafrugivores.Â PloS one,Â 8(2).
Clidemia bullosa;Accepted;Melastomataceae;Clidemia;bullosa;Clidemia bullosa;Tapirus;Tapirus terrestris;NA;NA;;NA;NA;NA;NA;NA;Barcelos, A. R., Bobrowiec, P. E. D., Sanaiotti, T. M., & Gribel, R. (2013). Seed germination from lowland tapir (Tapirus terrestris) fecal samples collected during the dry season in the northern Brazilian Amazon. Integrative zoology, 8(1), 63-73.
Clidemia debilis;Accepted;Melastomataceae;Clidemia;debilis;Clidemia debilis;Brachyteles;Brachyteles hypoxanthus;1;NA;;NA;NA;NA;NA;NA;Bueno, R. S., Guevara, R., Ribeiro, M. C., Culot, L., Bufalo, F. S., & Galetti, M. (2013). Functiol redundancy and complementarities of seed dispersal by the last neotropical megafrugivores.Â PloS one,Â 8(2).
